cpu,mb,gpu,ram,psu,total_price,benchmark_cpu,passmark_gpu,cpu_scaled,gpu_scaled,final_score,level
Intel Core i3-7350K @ 4.20GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),T1000,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB BLACK (AH4U16G32C28YNBAA-2) x2,POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W WHITE,42049.28,4874,7650,0.06744332134087144,0.17348206497317017,0.12046269315702081,Basic
Intel Core i3-7102E @ 2.10GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon R9 370,RAM DDR4(3200) 16GB (8GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ BRONZE) 650W DTECH PW023A,26432.0,2599,4722,0.03496373707954999,0.09608522111495862,0.06552447909725431,Basic
AMD Athlon 2500+,MAINBOARD (AM4) ASROCK A520M-HVS DDR4,RTX A5500,RAM DDR4(3200) 16GB APACER PANTHER GOLDEN (AH4U16G32C28Y7GAA-1) x2,POWER SUPPLY (80+ BRONZE) 500W ITSONAS AURORA ARGB,90263.6888,243,21216,0.0013277368511221519,0.5320768681768919,0.26670230251400706,Basic
Intel Core i9-7900X @ 3.30GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro P400,RAM DDR4(3200) 16GB HIKSEMI ARMOR PURPLE (HSC416U32Z2) x2,POWER SUPPLY (80+ BRONZE) 650W ANTEC ATOM B650,27568.225599999998,20886,1661,0.2960424875792359,0.015172741931220427,0.15560761475522816,Basic
Intel Core i5-8600K @ 3.60GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),T400,RAM DDR4(3200) 16GB (8GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ BRONZE) 750W AEROCOOL LUX,26565.408,10141,3618,0.1426389126834561,0.06690280457825593,0.10477085863085601,Basic
Intel Core i5-9500E @ 3.00GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,GeForce RTX 2080 Ti,RAM DDR4(3200) 16GB CORSAIR VENGEANCE LPX BLACK (CMK16GX4M1E3200C16) x2,POWER SUPPLY (FULL) 600W VIKINGS VOYAGE VK600W,34405.04,9104,21483,0.12783393295642737,0.5391345721762576,0.3334842525663425,Basic
Intel Core i5-9600 @ 3.10GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),GeForce RTX 4070 Ti SUPER,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST (KF432C16BBK2/16WP) x2,POWER SUPPLY (80+ BRONZE) 650W ITSONAS FROZEN,47575.8528,10355,31797,0.1456941351150705,0.8117681266686051,0.47873113089183783,Standard
AMD Ryzen 3 PRO 8300G,MAINBOARD (AM5) GIGABYTE B650 AORUS ELITE AX DDR5 (REV. 1.0),GeForce RTX 5070 Ti,RAM DDR5(4800) 16GB BLACKBERRY x2,POWER SUPPLY (80+ BRONZE) 650W MSI MAG A650BN,78253.76000000001,14540,32472,0.20544229341556733,0.8296106367793609,0.5175264650974641,Standard
Intel Core i7-9850HE @ 2.70GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Quadro P620,RAM DDR4(3200) 16GB BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ SILVER) 550W GIGABYTE P-550SS (GP-550SS),44032.4,9972,3703,0.1402261435669008,0.06914963918479554,0.10468789137584816,Basic
Intel Core i3-9350K @ 4.00GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,RTX A2000,RAM DDR4(3200) 16GB HIKSEMI ARMOR PURPLE (HSC416U32Z2) x2,POWER SUPPLY (FULL) 550W ANTEC ATOM V550,37978.394400000005,7596,13432,0.10630460853178003,0.3263196849144881,0.21631214672313406,Basic
AMD Athlon 2800+,MAINBOARD (AM4) GIGABYTE A520M-K V2 DDR4 (REV. 1.1),GeForce GTX 1080 Ti,RAM DDR4(3200) 16GB LEXAR THOR OC DARK GREY (LD4BU016G-R3200GSXG) x2,POWER SUPPLY (80+ WHITE) 550W THERMALTAKE TR2 S (PS-TRS-0550NNSAWE-H),22591.644,291,18590,0.002013020387185198,0.4626628955089741,0.23233795794807965,Basic
AMD Ryzen 3 4100,MAINBOARD (AM4) GIGABYTE B550M GAMING X WIFI6 DDR4 (REV. 1.0),GeForce GTX 1070,RAM DDR4(3200) 32GB (16GBX2) APACER PANTHER GOLDEN (AH4U32G32C28Y7GAA-2) x2,POWER SUPPLY (80+ PLATINUM) 1000W ASUS ROG LOKI 1000P SFX,36107.28,11042,13507,0.15550225572497287,0.3283021860379054,0.24190222088143915,Basic
Intel Xeon E3-1240 v5 @ 3.50GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 580,RAM DDR4(2666) 16GB BLACKBERRY MAXIMUS x2,POWER SUPPLY (CYBENETICS PLATINUM) 1000W CORSAIR RM1000E (CP-9020297-NA),43924.36,8252,8791,0.1156701501913083,0.20364251539742542,0.15965633279436686,Basic
Intel Core i3-9300T @ 3.20GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,TITAN V,RAM DDR4(3200) 16GB (8GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ BRONZE) 750W ANTEC ATOM B750,45785.16,6323,20072,0.08813031808577465,0.5018371177077,0.29498371789673733,Basic
Intel Core i3-7350K @ 4.20GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 6750 XT,RAM DDR4(3200) 16GB BLACKBERRY PRO SERIES WHITE x2,POWER SUPPLY (80+ GOLD) 750W ASUS TUF GAMING 750G,35109.28,4874,20707,0.06744332134087144,0.5186222938859666,0.293032807613419,Basic
Intel Xeon E3-1245 v6 @ 3.70GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 5060 Ti 16GB,RAM DDR4(2666) 16GB BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY (80+ WHITE) 700W SILVERSTONE (ST70F-ES230),43964.8776,8691,22700,0.12193763919821826,0.5713039570722424,0.3466207981352303,Basic
AMD Ryzen 7 8700F,MAINBOARD (AM5) GIGABYTE B850M GAMING X WIFI6E DDR5 (REV. 1.0),RTX A5500,RAM DDR5(5600) 16GB (8GBX2) KINGSTON FURY BEAST (KF556C40BBK2-16) x2,POWER SUPPLY (80+ BRONZE) 550W ITSONAS DARK FOREST SFX,114401.124,31160,21216,0.44272171777739705,0.5320768681768919,0.48739929297714446,Standard
Intel Core i9-11900KB @ 3.30GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,GeForce RTX 2060,RAM DDR4(3200) 16GB APACER NOX RGB BLACK (AH4U16G32C28YNBAA-1) x2,POWER SUPPLY 750W OKER EB-750,34768.68,22748,14103,0.32262577808234827,0.34405646163199494,0.33334111985717163,Basic
Intel Core i5-6350HQ @ 2.30GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Quadro M6000,RAM DDR4(3200) 32GB ADATA 16 CHIP (AD4U320032G22-SGN) x2,POWER SUPPLY (80+ WHITE) 600W MSI MAG A600DN,201612.72,4255,11734,0.058606019073725084,0.28143585948032035,0.17002093927702272,Basic
Intel Core i3-6320 @ 3.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Intel Arc B580,RAM DDR4(3200) 32GB ADATA 16 CHIP (AD4U320032G22-SGN) x2,POWER SUPPLY 550W DTECH PW032,28786.192,4432,15825,0.06113300211295757,0.3895746874256562,0.2253538447693069,Basic
AMD Athlon MP,MAINBOARD (AM4) ASROCK B450M STEEL LEGEND DDR4,Radeon Pro WX 4150,RAM DDR4(3200) 16GB APACER PANTHER GOLDEN (AH4U16G32C28Y7GAA-1) x2,POWER SUPPLY (80+ SILVER) 600W ITSONAS DARK FOREST 1U FLEX (DF-FX600) SFX,36398.6888,150,2579,0.0,0.03943855568184822,0.01971927784092411,Basic
AMD Ryzen 7 5800X,MAINBOARD (AM4) GIGABYTE A520M S2H DDR4 (REV. 1.3),Radeon RX 9070,RAM DDR4(3200) 16GB BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY (80+ WHITE) 600W COOLER MASTER ELITE NEX MWE 230V (MPW-6001-ACBW),41339.08,27703,25403,0.3933670264405231,0.6427532975602019,0.5180601620003625,Standard
Intel Core i3-10105 @ 3.70GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,GeForce GTX 1660 Ti,RAM DDR4(3200) 16GB ADATA D35G XPG BLACK (AX4U320016G16A-SBKD35) x2,POWER SUPPLY (80+ BRONZE) 650W ITSONAS FROZEN,24274.8816,8256,12681,0.1157272571526469,0.3064682403320029,0.2110977487423249,Basic
Intel Core i5-6350HQ @ 2.30GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 2080 Ti,RAM DDR4(2666) 16GB HIKSEMI (HSC416U26Z1) x2,POWER SUPPLY (80+ BRONZE) 550W ITSONAS DARK FOREST WHITE SFX,37192.72,4255,21483,0.058606019073725084,0.5391345721762576,0.29887029562499134,Basic
AMD Ryzen 5 7500X3D,MAINBOARD (AM5) ASUS PRIME X870-P-CSM DDR5,Intel Arc A770,RAM DDR5(5200) 32GB (16GBX2) ZADAK SPARK RGB (ZD5-SPR52C50-32G2W2) x2,POWER SUPPLY (80+ SILVER) 500W ITSONAS DARK FOREST 1U FLEX (DF-FX500) SFX,59331.8888,25192,13347,0.357518131460225,0.3240728503079485,0.3407954908840868,Basic
Intel Xeon E E-2486,MAINBOARD (1700) MSI B760M GAMING WIFI DDR5,GeForce RTX 2080 Ti,RAM DDR5(5200) 16GB BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY (80+ BRONZE) 550W ITSONAS DARK FOREST SFX,51126.72,23605,21483,0.33486094454914056,0.5391345721762576,0.43699775836269905,Basic
Intel Core i7-12700,MAINBOARD (1700) ASROCK B760M PG LIGHTNING WIFI DDR5,Intel Arc A580,RAM DDR5(5600) 32GB (16GBX2) CORSAIR VENGEANCE RGB BLACK (CMH32GX5M2B5600C40K) x2,POWER SUPPLY (80+ BRONZE) 650W DTECH PW023A,51977.944,29989,12064,0.42600365484552566,0.2901588644233565,0.35808125963444104,Basic
Intel Core i3-9350KF @ 4.00GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,Radeon RX 9070,RAM DDR4(3200) 16GB LEXAR THOR OC DARK GREY (LD4BU016G-R3200GSXG) x2,POWER SUPPLY (CYBENETICS PLATINUM) 850W MONTECH CENTURY II,42130.68,7602,25403,0.1063902689737879,0.6427532975602019,0.3745717832669949,Basic
AMD Ryzen 5 7500X3D,MAINBOARD (AM5) COLORFUL IGAME X870 SENNA V14 DDR5,Tesla M10,RAM DDR5(4800) 16GB BLACKBERRY x2,POWER SUPPLY (80+ PLATINUM) 850W SEGOTEP PM 850W,46361.8888,25192,2968,0.357518131460225,0.04972112817530597,0.2036196298177655,Basic
Intel Core i7-7740X @ 4.30GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 2060,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ BRONZE) 650W SILVERSTONE ATTIS 650R (SST-AT650R-BF-WBW),27746.847999999998,9689,14103,0.13618582605219576,0.34405646163199494,0.24012114384209535,Basic
Intel Core i7-14700,MAINBOARD (1700) COLORFUL H610M-D V20 DDR5,Tesla T4,RAM DDR5(5200) 32GB (16GBX2) BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY 450W DTECH PW053 SFX,65589.3584,40794,9903,0.5802638341613843,0.23303639872062595,0.4066501164410051,Basic
Intel Core i7-12800HE,MAINBOARD (1700) ASUS TUF GAMING B760M-PLUS WIFI II (DDR5),Radeon R7 360,RAM DDR5(5200) 32GB (16GBX2) APACER GAMING BLACK (AH5U32G52C5227BAA-2) x2,POWER SUPPLY (80+ BRONZE) 750W GIGABYTE P750BS,54856.72,26096,3126,0.3704243047227457,0.05389759720863842,0.21216095096569204,Basic
AMD Ryzen 7 5700X,MAINBOARD (AM4) GIGABYTE B550 EAGLE WIFI6 DDR4 (REV. 1.0),Radeon RX 6950 XT,RAM DDR4(3200) 32GB (16GBX2) HIKSEMI ARMOR BLACK (HSC432U32D3)Recommend x2,POWER SUPPLY (80+ WHITE) 700W COOLER MASTER ELITE NEX MWE 230V (MPW-7001-ACBW),51255.6888,26604,28098,0.37767688881274625,0.7139911712616637,0.545834030037205,Standard
Intel Core i3-9300 @ 3.70GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,GeForce RTX 2060 SUPER,RAM DDR4(3200) 16GB (8GBX2) CORSAIR VENGEANCE LPX BLACK (CMK16GX4M2E3200C16) x2,POWER SUPPLY (80+ BRONZE) 550W ITSONAS FROZEN,22280.8,7075,16489,0.09886642681742905,0.4071264307049774,0.2529964287612032,Basic
AMD Ryzen 9 PRO 7945,MAINBOARD (AM5) ASUS ROG STRIX X870-F GAMING WIFI DDR5,Radeon RX 6500 XT,RAM DDR5(4800) 16GB ADATA (AD5U480016G-B) x2,POWER SUPPLY (80+ GOLD) 1000W COOLER MASTER ELITE GOLD 1000 (MPW-A001-AFAG-BEU),67612.5136,46933,9630,0.667908743075781,0.225820094631387,0.44686441885358397,Basic
Intel Core i9-11900KB @ 3.30GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,GeForce RTX 5070 Ti,RAM DDR4(3200) 16GB (8GBX2) CORSAIR VENGEANCE LPX BLACK (CMK16GX4M2E3200C16) x2,POWER SUPPLY (80+ GOLD) 850W DTECH PW072A,77783.68,22748,32472,0.32262577808234827,0.8296106367793609,0.5761182074308546,Standard
Intel Xeon E3-1225 v5 @ 3.30GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon Pro WX 3200,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB BLACK (AH4U16G32C28YNBAA-2) x2,POWER SUPPLY (80+GOLD) 1000W THERMALTAKE TOUGHPOWER GT (PS-TPT-1000FNFAGE-3),28366.0,5957,2222,0.08290503112329392,0.030001850334381856,0.056453440728837886,Basic
AMD Ryzen 5 5500,MAINBOARD (AM4) ASROCK B450M STEEL LEGEND DDR4,GeForce RTX 3050 8GB,RAM DDR4(3200) 32GB (16GBX2) APACER PANTHER GOLDEN (AH4U32G32C28Y7GAA-2) x2,POWER SUPPLY (CYBENETICS PLATINUM) 1000W CORSAIR RM1000E WHITE (CP-9020294-NA),31569.68,19291,12509,0.2732710867454743,0.30192170442229915,0.2875963955838867,Basic
Intel Core i3-10105T @ 3.00GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon Pro WX 4100,RAM DDR4(3200) 16GB BLACKBERRY PRO SERIES WHITE x2,POWER SUPPLY (80+ PLATINUM) 850W SEGOTEP PM 850W,37895.4888,7796,3683,0.10915995659870939,0.06862097221855092,0.08889046440863016,Basic
Intel Xeon E3-1558L v5 @ 1.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 6700S,RAM DDR4(2666) 16GB (8GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (FULL) 500W DTECH PW007,37258.520000000004,7634,15080,0.10684712466449658,0.3698818429330443,0.23836448379877045,Basic
Intel Core i3-10325 @ 3.90GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,RTX PRO 4500 Blackwell,RAM DDR4(3200) 16GB (8GBX2) ADATA D35 XPG BLACK (AX4U32008G16A-DTBKD35) x2,POWER SUPPLY (80+ PLATINUM) 1300W DEEPCOOL PX1300P,119630.912,10291,32430,0.14478042373365313,0.8285004361502472,0.4866404299419501,Standard
Intel Core i9-10900K @ 3.70GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Intel Arc A310,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST (KF432C16BB1K2/32) x2,POWER SUPPLY (80+ WHITE) 550W MONTECH AP550,45608.3344,22325,5451,0.31658671692079265,0.11535513203457483,0.21597092447768373,Basic
AMD Ryzen 9 9900X3D,MAINBOARD (AM5) ASROCK B850M PRO-A DDR5,Radeon R7 450,RAM DDR5(5200) 32GB (16GBX2) ZADAK SPARK RGB (ZD5-SPR52C50-32G2W2) x2,POWER SUPPLY (80+ BRONZE) 650W SEGOTEP BN650W ID PCIE 5.1,60177.28,56262,1881,0.8010964536577009,0.020988078559911184,0.411042266108806,Basic
Intel Core i7-10700E @ 2.90GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon RX 7600,RAM DDR4(3200) 32GB (16GBX2) HIKSEMI ARMOR BLACK (HSC432U32D3)Recommend x2,POWER SUPPLY (80+ PLATINUM) 1500W NZXT BLACK (PA-5P1BB-US),47829.6,16086,16544,0.22751413397293127,0.4085802648621501,0.31804719941754067,Basic
AMD Athlon XP 1800+,MAINBOARD (AM4) ASROCK B450M HDV DDR4 R4.0,Radeon RX 6600,RAM DDR4(3200) 8GB HIKSEMI ARMOR WHITE (HSC408U32E2) x1,POWER SUPPLY (80+ GOLD) 750W COOLER MASTER MWE V3 NM FR (MPE-7506-ACAG-BTH),17895.564,195,15072,0.0006424533150591058,0.36967037614654646,0.1851564147308028,Basic
Intel Core i3-12300T,MAINBOARD (1700) ASUS B760M-AYW WIFI DDR5,Radeon Pro,RAM DDR5(5200) 32GB (16GBX2) ZADAK SPARK RGB (ZD5-SPR52C50-32G2W2) x2,POWER SUPPLY (80+ WHITE) 600W MSI MAG A600DN,71595.84,13058,2559,0.1842841642396208,0.03890988871560361,0.1115970264776122,Basic
Intel Core i7-14700K,MAINBOARD (1700) ASUS PRIME H610M-F DDR4 R2.0,Radeon RX 5600 XT,RAM DDR4(3200) 16GB (8GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ BRONZE) 650W ITSONAS DARK FOREST SFX,30700.7288,52121,13418,0.7419764719319285,0.3259496180381169,0.5339630449850227,Standard
AMD Athlon MP,MAINBOARD (AM4) ASROCK B550M HDV DDR4,Radeon Pro,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST RGB (KF432C16BB12AK2/32WP) x2,POWER SUPPLY (80+BRONZE) 750W ASUS PRIME (90YE00Y0-B0DA00),54748.6888,150,2559,0.0,0.03890988871560361,0.019454944357801804,Basic
Intel Core i5-8600K @ 3.60GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),GeForce RTX 4070,RAM DDR4(3200) 16GB BLACKBERRY 16 CHIP (BBR16G32D16C) x2,POWER SUPPLY (80+ GOLD) 850W ANTEC GSK V2 WHITE,37850.407999999996,10141,26914,0.1426389126834561,0.6826940868599826,0.4126664997717193,Basic
Intel Core i5-12600HL,MAINBOARD (1700) ASROCK B760M STEEL LEGEND WIFI DDR5,GeForce RTX 2080 SUPER,RAM DDR5(5600) 32GB (16GBX2) KINGBANK KJUS x2,POWER SUPPLY (FULL) 600W DTECH PW008,50248.32,23615,19460,0.335003711952487,0.4856599085406148,0.4103318102465509,Basic
AMD Ryzen 5 PRO 4650G,MAINBOARD (AM4) GIGABYTE B550 EAGLE WIFI6 DDR4 (REV. 1.0),GeForce RTX 3080 Ti,RAM DDR4(3200) 16GB (8GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ GOLD) 850W ASUS TUF GAMING 850G,43187.4144,16041,26795,0.22687168065787217,0.6795485184108271,0.45321009953434965,Standard
AMD Ryzen 7 PRO 4750G,MAINBOARD (AM4) ASROCK B450M PRO4 DDR4 R2.0,GeForce RTX 5060 Ti 8GB,RAM DDR4(3200) 16GB APACER NOX BLACK (AH4U16G32C28YMBAA-1) x2,POWER SUPPLY (80+BRONZE) 750W ASUS PRIME (90YE00Y0-B0DA00),36388.548,20197,22493,0.28620581348866425,0.5658322539716106,0.42601903373013744,Basic
AMD Ryzen 3 3100,MAINBOARD (AM4) ASROCK B550M-ITX/AC DDR4,Radeon RX 6500 XT,RAM DDR4(3200) 16GB (8GBX2) ADATA D35 XPG BLACK (AX4U32008G16A-DTBKD35) x2,POWER SUPPLY (80+ WHITE) 550W THERMALTAKE TR2 S (PS-TRS-0550NNSAWE-H),27471.6888,11526,9630,0.1624121980469419,0.225820094631387,0.19411614633916446,Basic
Intel Core i3-7350K @ 4.20GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 3090 Ti,RAM DDR4(3200) 16GB HIKSEMI (HSC416U32Z1) x2,POWER SUPPLY (80+ WHITE) 550W THERMALTAKE TR2 S,44239.28,4874,29325,0.06744332134087144,0.7464248896407708,0.4069341054908211,Basic
AMD Ryzen 7 1700,MAINBOARD (AM4) GIGABYTE A520M-K V2 DDR4 (REV. 1.1),T400,RAM DDR4(3200) 16GB HIKSEMI ARMOR WHITE (HSC416U32E2) x2,POWER SUPPLY (FULL) 450W DTECH PW006,26707.6888,14763,3618,0.20862600651019358,0.06690280457825593,0.13776440554422476,Basic
Intel Core i9-9940X @ 3.30GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),Radeon Pro WX 4150,RAM DDR4(3200) 16GB BLACKBERRY ASGARD x2,POWER SUPPLY 450W DTECH PW053 SFX,61192.9896,28003,2579,0.3976500485409171,0.03943855568184822,0.21854430211138268,Basic
Intel Core i5-12600K,MAINBOARD (1700) ASROCK B760M-H2/M.2 DDR5,Quadro GV100,RAM DDR5(5600) 32GB (16GBX2) KINGBANK KJUS x2,POWER SUPPLY 600W TSUNAMI EX600 DEEP SPACE,352942.4488,27557,18880,0.39128262235166467,0.47032856651952104,0.43080559443559285,Basic
AMD Ryzen 9 5900XT,MAINBOARD (AM4) ASROCK B550M PHANTOM GAMING4,Radeon RX 7900 GRE,RAM DDR4(3200) 16GB HIKSEMI ARMOR PURPLE (HSC416U32Z2) x2,POWER SUPPLY (80+ GOLD) 1000W COOLER MASTER ELITE GOLD 1000 (MPW-A001-AFAG-BEU),48188.32,43983,27291,0.6257923590885729,0.6926594591736935,0.6592259091311332,Standard
Intel Xeon E3-1230 v6 @ 3.50GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Tesla M40,RAM DDR4(3200) 16GB HIKSEMI ARMOR BLACK (HSC416U32D2)Recommend x2,POWER SUPPLY (80+ GOLD) 850W SEGOTEP GM850W,50612.444,8094,10219,0.11341442521843412,0.24138933678729088,0.1774018810028625,Basic
Intel Core i9-14900F,MAINBOARD (1700) ASROCK B760M-HDV/M.2 DDR5,Radeon R9 380X,RAM DDR5(5200) 32GB (16GBX2) BLACKBERRY 5200 PRO SERIES BLACK x2,POWER SUPPLY (80+ GOLD) 850W THERMALTAKE TOUGHPOWER GT SNOW,63980.2824,46707,6130,0.6646821997601507,0.1333033755385795,0.39899278764936513,Basic
AMD Ryzen 5 8600G,MAINBOARD (AM5) ASROCK B850 LIVEMIXER WIFI DDR5,GeForce RTX 3080,RAM DDR5(6400) 32GB (16GBX2) CORSAIR VENGEANCE RGB BLACK (CMH32GX5M2B6400C36) x2,POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W,78782.88,25201,25040,0.35764662212323683,0.6331579921228622,0.4954023071230495,Standard
AMD Ryzen 7 4700G,MAINBOARD (AM4) ASUS PRIME A520M-K/CSM (DDR4),GeForce RTX 5050,RAM DDR4(3200) 16GB APACER NOX WHITE (AH4U16G32C28YMWAA-1) x2,POWER SUPPLY (FULL) 600W VIKINGS VOYAGE VK600W,27126.9344,20114,17381,0.28502084404088857,0.4307049773994872,0.3578629107201879,Basic
AMD Ryzen 3 5300G,MAINBOARD (AM4) LONGWELL A520M-YH DDR4,GeForce RTX 4070 SUPER,RAM DDR4(3200) 16GB KINGSTON FURY BEAST (KF432C16BB1/16WP) x2,POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W,42699.8888,13036,29966,0.18397007595225856,0.7633686659089107,0.47366937093058464,Standard
Intel Xeon E3-1270 v5 @ 3.60GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Intel Arc B580,RAM DDR4(3200) 16GB KINGSTON FURY BEAST (KF432C16BB1/16WP) x2,POWER SUPPLY 600W TSUNAMI EX600 DEEP SPACE,33013.044,8319,15825,0.11662669179372964,0.3895746874256562,0.2531006896096929,Basic
Intel Xeon E3-1558L v5 @ 1.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX 6950 XT,RAM DDR4(3200) 16GB HIKSEMI ARMOR BLACK (HSC416U32D2)Recommend x2,POWER SUPPLY (80+ GOLD) 850W DTECH PW072A,45893.520000000004,7634,28098,0.10684712466449658,0.7139911712616637,0.4104191479630801,Basic
Intel Core i5-8600 @ 3.10GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,Intel Arc A750,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST RGB (KF432C16BB12AK2/32WP) x2,POWER SUPPLY 600W TSUNAMI EX600,33367.1288,9952,12606,0.13994060876020786,0.30448573920858557,0.22221317398439672,Basic
AMD Ryzen 9 3900X,MAINBOARD (AM4) ASROCK B550M HDV DDR4,Radeon RX 6400,RAM DDR4(2666) 16GB (8GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ BRONZE) 850W ITSONAS FROZEN,37991.68,32504,7750,0.46190965678716234,0.17612539980439323,0.3190175282957778,Basic
Intel Core i5-11400 @ 2.60GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,GeForce RTX 2080,RAM DDR4(3200) 32GB (16GBX2) APACER PANTHER GOLDEN (AH4U32G32C28Y7GAA-2) x2,POWER SUPPLY (80+ BRONZE) 550W ITSONAS DARK FOREST WHITE SFX,37119.206399999995,16661,18621,0.23572325966535318,0.4634823293066533,0.34960279448600323,Basic
Intel Core i7-10700T @ 2.00GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,GeForce RTX 4070 SUPER,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST RGB (KF432C16BB2AK2/16) x2,POWER SUPPLY (80+ GOLD) 850W ASUS ROG STRIX AURA GAMIN G850G,53291.28,12904,29966,0.18208554622808518,0.7633686659089107,0.47272710606849794,Standard
Intel Core i5-8400 @ 2.80GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),GeForce RTX 5050,RAM DDR4(3200) 16GB (8GBX2) KINGSTON FURY BEAST (KF432C16BBK2/16WP) x2,POWER SUPPLY (80+ BRONZE) 750W GIGABYTE P750BS,31205.2704,9231,17381,0.12964707897892752,0.4307049773994872,0.2801760281892074,Basic
Intel Core i5-12500E,MAINBOARD (1700) MSI B760 GAMING PLUS WIFI DDR5,TITAN V,RAM DDR5(5200) 64GB (32GBX2) KINGSTON FURY BEAST (KF552C40BBK2-64) x2,POWER SUPPLY (CYBENETICS PLATINUM) 650W CORSAIR RM650E (CP-9020302-NA),88222.0,20585,20072,0.29174518873850724,0.5018371177077,0.39679115322310365,Basic
AMD Ryzen 5 2400G,MAINBOARD (AM4) ASROCK B550M HDV DDR4,GeForce RTX 5080,RAM DDR4(2666) 16GB BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY (FULL) 650W ANTEC ATOM V650,68395.2,8731,35722,0.12250870881160414,0.9155190187941107,0.5190138638028574,Standard
